其它频道,#genre#
1,http://144.0.23.59:8085/hls/1/index.m3u8
2,http://144.0.23.59:8085/hls/2/index.m3u8
3,http://144.0.23.59:8085/hls/3/index.m3u8
4,http://144.0.23.59:8085/hls/4/index.m3u8
5,http://144.0.23.59:8085/hls/5/index.m3u8
6,http://144.0.23.59:8085/hls/6/index.m3u8
7,http://144.0.23.59:8085/hls/7/index.m3u8
8,http://144.0.23.59:8085/hls/8/index.m3u8
9,http://144.0.23.59:8085/hls/9/index.m3u8
10,http://144.0.23.59:8085/hls/10/index.m3u8
11,http://144.0.23.59:8085/hls/11/index.m3u8
12,http://144.0.23.59:8085/hls/12/index.m3u8
13,http://144.0.23.59:8085/hls/13/index.m3u8
14,http://144.0.23.59:8085/hls/14/index.m3u8
15,http://144.0.23.59:8085/hls/15/index.m3u8
16,http://144.0.23.59:8085/hls/16/index.m3u8
17,http://144.0.23.59:8085/hls/17/index.m3u8
18,http://144.0.23.59:8085/hls/18/index.m3u8
19,http://144.0.23.59:8085/hls/19/index.m3u8
20,http://144.0.23.59:8085/hls/20/index.m3u8
21,http://144.0.23.59:8085/hls/21/index.m3u8
22,http://144.0.23.59:8085/hls/22/index.m3u8
23,http://144.0.23.59:8085/hls/23/index.m3u8
24,http://144.0.23.59:8085/hls/24/index.m3u8
1,http://144.0.60.50:8083/hls/1/index.m3u8
2,http://144.0.60.50:8083/hls/2/index.m3u8
3,http://144.0.60.50:8083/hls/3/index.m3u8
4,http://144.0.60.50:8083/hls/4/index.m3u8
5,http://144.0.60.50:8083/hls/5/index.m3u8
6,http://144.0.60.50:8083/hls/6/index.m3u8
7,http://144.0.60.50:8083/hls/7/index.m3u8
8,http://144.0.60.50:8083/hls/8/index.m3u8
9,http://144.0.60.50:8083/hls/9/index.m3u8
10,http://144.0.60.50:8083/hls/10/index.m3u8
11,http://144.0.60.50:8083/hls/11/index.m3u8
12,http://144.0.60.50:8083/hls/12/index.m3u8
13,http://144.0.60.50:8083/hls/13/index.m3u8
14,http://144.0.60.50:8083/hls/14/index.m3u8
15,http://144.0.60.50:8083/hls/15/index.m3u8
16,http://144.0.60.50:8083/hls/16/index.m3u8
17,http://144.0.60.50:8083/hls/17/index.m3u8
18,http://144.0.60.50:8083/hls/18/index.m3u8
19,http://144.0.60.50:8083/hls/19/index.m3u8
20,http://144.0.60.50:8083/hls/20/index.m3u8
21,http://144.0.60.50:8083/hls/21/index.m3u8
22,http://144.0.60.50:8083/hls/22/index.m3u8
23,http://144.0.60.50:8083/hls/23/index.m3u8
24,http://144.0.60.50:8083/hls/24/index.m3u8
1,http://120.224.84.170:8085/hls/1/index.m3u8
2,http://120.224.84.170:8085/hls/2/index.m3u8
3,http://120.224.84.170:8085/hls/3/index.m3u8
4,http://120.224.84.170:8085/hls/4/index.m3u8
5,http://120.224.84.170:8085/hls/5/index.m3u8
6,http://120.224.84.170:8085/hls/6/index.m3u8
7,http://120.224.84.170:8085/hls/7/index.m3u8
8,http://120.224.84.170:8085/hls/8/index.m3u8
9,http://120.224.84.170:8085/hls/9/index.m3u8
10,http://120.224.84.170:8085/hls/10/index.m3u8
11,http://120.224.84.170:8085/hls/11/index.m3u8
12,http://120.224.84.170:8085/hls/12/index.m3u8
13,http://120.224.84.170:8085/hls/13/index.m3u8
14,http://120.224.84.170:8085/hls/14/index.m3u8
15,http://120.224.84.170:8085/hls/15/index.m3u8
16,http://120.224.84.170:8085/hls/16/index.m3u8
17,http://120.224.84.170:8085/hls/17/index.m3u8
18,http://120.224.84.170:8085/hls/18/index.m3u8
19,http://120.224.84.170:8085/hls/19/index.m3u8
20,http://120.224.84.170:8085/hls/20/index.m3u8
21,http://120.224.84.170:8085/hls/21/index.m3u8
22,http://120.224.84.170:8085/hls/22/index.m3u8
23,http://120.224.84.170:8085/hls/23/index.m3u8
24,http://120.224.84.170:8085/hls/24/index.m3u8
CGTN,http://123.14.86.119:8888/hls/16/index.m3u8
河南都市,http://61.52.81.117:8888/hls/18/index.m3u8
河南民生,http://61.52.81.117:8888/hls/19/index.m3u8
河南法治,http://61.52.81.117:8888/hls/20/index.m3u8
河南电视剧,http://61.52.81.117:8888/hls/21/index.m3u8
河南新闻,http://61.52.81.117:8888/hls/22/index.m3u8
河南公共,http://61.52.81.117:8888/hls/23/index.m3u8
河南新农村,http://61.52.81.117:8888/hls/24/index.m3u8
河南梨园,http://61.52.81.117:8888/hls/25/index.m3u8
河南文物宝库,http://61.52.81.117:8888/hls/26/index.m3u8
河南武术世界,http://61.52.81.117:8888/hls/27/index.m3u8
河南卫视,http://61.52.81.117:8888/hls/17/index.m3u8
深圳都市,http://119.123.176.57:8086/hls/103/index.m3u8
四川卫视,http://119.123.176.57:8086/hls/82/index.m3u8
重庆卫视,http://119.123.176.57:8086/hls/100/index.m3u8
深圳卫视,http://119.123.176.57:8086/hls/79/index.m3u8
浙江卫视,http://119.123.176.57:8086/hls/101/index.m3u8
经济科教高清,http://119.123.176.57:8086/hls/63/index.m3u8
少儿动画,http://119.123.176.57:8086/hls/78/index.m3u8
江苏卫视,http://119.123.176.57:8086/hls/59/index.m3u8
怀旧剧场高清,http://119.123.176.57:8086/hls/56/index.m3u8
广西卫视,http://119.123.176.57:8086/hls/48/index.m3u8
海南卫视,http://119.123.176.57:8086/hls/50/index.m3u8
河南卫视,http://119.123.176.57:8086/hls/52/index.m3u8
湖北卫视,http://119.123.176.57:8086/hls/54/index.m3u8
湖南卫视,http://119.123.176.57:8086/hls/55/index.m3u8
广东新闻高清,http://119.123.176.57:8086/hls/45/index.m3u8
广东影视高清,http://119.123.176.57:8086/hls/46/index.m3u8
广东珠江高清,http://119.123.176.57:8086/hls/47/index.m3u8
大湾区卫视高清,http://119.123.176.57:8086/hls/29/index.m3u8
广东民生高清,http://119.123.176.57:8086/hls/39/index.m3u8
广东少儿高清,http://119.123.176.57:8086/hls/40/index.m3u8
广东体育高清-,http://119.123.176.57:8086/hls/42/index.m3u8
央视频道,#genre#
CCTV-1 综合,http://119.123.176.57:8086/hls/2/index.m3u8
CCTV-2 财经,http://119.123.176.57:8086/hls/3/index.m3u8
CCTV-3 综艺,http://119.123.176.57:8086/hls/4/index.m3u8
CCTV-4 中文国际,http://119.123.176.57:8086/hls/5/index.m3u8
